stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id,clean_stop_id
2578240,66500890,"Maastricht, Withuisveld",50.85413,5.732909,0,stoparea:418551,,0.0,,,2578240
2578241,66500920,"Maastricht, Scharnerweg",50.848844,5.717706,0,stoparea:418521,,1.0,,,2578241
2578242,66500930,"Maastricht, Scharnerweg",50.848908,5.717521,0,stoparea:418521,,1.0,,,2578242
2578244,66501201,"Maastricht, P&R Noord Perron A",50.871967,5.716294,0,stoparea:418502,,0.0,A,,2578244
2578243,66501200,"Maastricht, P&R Noord Perron A",50.871967,5.716294,0,stoparea:418502,,0.0,A,,2578243
2578245,66501202,"Maastricht, P&R Noord Perron B",50.872012,5.716337,0,stoparea:418502,,1.0,B,,2578245
2578246,66501203,"Maastricht, P&R Noord Perron B",50.872012,5.716337,0,stoparea:418502,,0.0,B,,2578246
2578249,66501670,"Maastricht, Old Hickoryplein",50.854676,5.708744,0,stoparea:418499,,0.0,,,2578249
2578250,66501680,"Maastricht, Old Hickoryplein",50.854597,5.708275,0,stoparea:418499,,0.0,,,2578250
2578251,66501690,"Maastricht, Geusseltbad",50.85748,5.721658,0,stoparea:418402,,1.0,,,2578251
2578256,66502690,"Maastricht, Geusseltbad",50.857534,5.721616,0,stoparea:418402,,1.0,,,2578256
2578252,66501810,"Maastricht, W. Alexanderweg/Balijeweg",50.86729,5.704513,0,stoparea:418393,,0.0,,,2578252
2578253,66501820,"Maastricht, W. Alexanderweg/Balijeweg",50.867327,5.704301,0,stoparea:418393,,0.0,,,2578253
2578257,66503630,"Maastricht, Meerssenerweg",50.861546,5.710979,0,stoparea:418486,,0.0,,,2578257
2578258,66503640,"Maastricht, Meerssenerweg",50.860919,5.710279,0,stoparea:418486,,0.0,,,2578258
2578292,66580170,"Maastricht, Bieslanderweg",50.839999,5.677595,0,stoparea:418411,,1.0,,,2578292
2578293,66580180,"Maastricht, Brusselseweg/Zuyd Hogeschool",50.853992,5.671335,0,stoparea:418417,,0.0,,,2578293
2578294,66580190,"Maastricht, Brusselseweg/Zuyd Hogeschool",50.854297,5.671507,0,stoparea:418417,,0.0,,,2578294
2578295,66580200,"Maastricht, Nekummerweg",50.828288,5.66956,0,stoparea:418494,,0.0,,,2578295
2578296,66580210,"Maastricht, Nekummerweg",50.828108,5.669885,0,stoparea:418494,,0.0,,,2578296
2578297,66580220,"Maastricht, Jezuïetenberg",50.823315,5.666932,0,stoparea:418462,,0.0,,,2578297
2578298,66580230,"Maastricht, Jezuïetenberg",50.822793,5.667241,0,stoparea:418462,,0.0,,,2578298
2578299,66580320,"Maastricht, Cannerweg/Gerlachus",50.840632,5.676208,0,stoparea:418419,,1.0,,,2578299
2578300,66580350,"Maastricht, Capitoolhof",50.841348,5.647166,0,stoparea:418420,,1.0,,,2578300
2578301,66580360,"Maastricht, Capitoolhof",50.841303,5.646939,0,stoparea:418420,,0.0,,,2578301
2578302,66580430,"Maastricht, Fagotstraat",50.856186,5.670994,0,stoparea:418444,,0.0,,,2578302
2578303,66580440,"Maastricht, Fagotstraat",50.856288,5.670028,0,stoparea:418444,,0.0,,,2578303
2578304,66580470,"Maastricht, Gentelaan",50.856066,5.665128,0,stoparea:418447,,0.0,,,2578304
2578305,66580480,"Maastricht, Gentelaan",50.855921,5.66551,0,stoparea:418447,,0.0,,,2578305
2578306,66580490,"Maastricht, Gewantmakersdreef-Noord",50.848243,5.658578,0,stoparea:418448,,0.0,,,2578306
2578307,66580500,"Maastricht, Gewantmakersdreef-Noord",50.848351,5.658706,0,stoparea:418448,,0.0,,,2578307
2578308,66580510,"Maastricht, Herculeshof",50.839291,5.650377,0,stoparea:418455,,1.0,,,2578308
2578309,66580520,"Maastricht, Herculeshof",50.839156,5.650475,0,stoparea:418455,,1.0,,,2578309
2399075,32536,"Maastricht, Keurmeestersdreef Oost",50.847497,5.662478,0,,,0.0,,,2399075
2578310,66580540,"Maastricht, Keurmeestersdreef oost",50.84756,5.662478,0,stoparea:418467,,0.0,,,2578310
2398299,32535,"Maastricht, Keurmeestersdreef Oost",50.848392,5.664159,0,,,0.0,,,2398299
2578311,66580550,"Maastricht, Keurmeestersdreef oost",50.848418,5.664187,0,stoparea:418467,,0.0,,,2578311
2578312,66580560,"Maastricht, Keurmeestersdreef west",50.844861,5.655477,0,stoparea:418468,,1.0,,,2578312
2578313,66580570,"Maastricht, Keurmeestersdreef west",50.84471,5.654866,0,stoparea:418468,,1.0,,,2578313
2578315,66580581,"Maastricht, Laathofruwe",50.866268,5.653542,0,stoparea:418475,,1.0,,,2578315
2578314,66580580,"Maastricht, Laathofruwe",50.866268,5.653542,0,stoparea:418476,,1.0,,,2578314
2578336,66580841,"Maastricht, Laathofruwe",50.86626,5.653371,0,stoparea:418475,,1.0,,,2578336
2578335,66580840,"Maastricht, Laathofruwe",50.86626,5.653371,0,stoparea:418476,,1.0,,,2578335
2578316,66580610,"Maastricht, Malbergplein",50.862999,5.65642,0,stoparea:418492,,1.0,,,2578316
2578317,66580620,"Maastricht, Malbergplein",50.863341,5.656223,0,stoparea:418492,,1.0,,,2578317
2578318,66580630,"Maastricht, Malbergsingel",50.860431,5.65909,0,stoparea:418483,,1.0,,,2578318
2578319,66580640,"Maastricht, Malbergsingel",50.860628,5.659076,0,stoparea:418483,,1.0,,,2578319
2578320,66580650,"Maastricht, Arrestruwe",50.865197,5.658194,0,stoparea:418399,,1.0,,,2578320
2578321,66580660,"Maastricht, Arrestruwe",50.865438,5.658991,0,stoparea:418399,,0.0,,,2578321
2578322,66580670,"Maastricht, Malpertuisplein",50.857419,5.663034,0,stoparea:418481,,1.0,,,2578322
2578323,66580680,"Maastricht, Malpertuisplein",50.857401,5.66319,0,stoparea:418481,,1.0,,,2578323
2578324,66580690,"Maastricht, Medoclaan/Campagne",50.839161,5.66761,0,stoparea:418422,,1.0,,,2578324
2578325,66580700,"Maastricht, Medoclaan/Campagne",50.838363,5.666654,0,stoparea:418422,,1.0,,,2578325
2578326,66580710,"Maastricht, Medoclaan/Emilionlaan",50.836604,5.661817,0,stoparea:418441,,0.0,,,2578326
2578327,66580720,"Maastricht, Medoclaan/Emilionlaan",50.836631,5.661675,0,stoparea:418441,,0.0,,,2578327
2578329,66580740,"Maastricht, Mgr. Vranckenplein",50.834419,5.65438,0,stoparea:418487,,1.0,,,2578329
2578328,66580730,"Maastricht, Mgr. Vranckenplein",50.834419,5.65438,0,stoparea:418487,,1.0,,,2578328
2578330,66580750,"Maastricht, Papyrussingel",50.86415,5.663671,0,stoparea:418504,,1.0,,,2578330
2578331,66580760,"Maastricht, Pergamijndonk",50.864782,5.66643,0,stoparea:418506,,1.0,,,2578331
2578357,66581810,"Maastricht, Planetenhof",50.840963,5.654205,0,stoparea:418511,,1.0,,,2578357
2578332,66580810,"Maastricht, Planetenhof",50.840963,5.654205,0,stoparea:418511,,1.0,,,2578332
2578333,66580820,"Maastricht, Potteriestraat",50.851733,5.65776,0,stoparea:418512,,1.0,,,2578333
2578334,66580830,"Maastricht, Potteriestraat",50.851849,5.65796,0,stoparea:418512,,1.0,,,2578334
2578338,66580871,"Maastricht, Vendelplein",50.864274,5.648971,0,stoparea:418538,,0.0,,,2578338
2578337,66580870,"Maastricht, Vendelplein",50.864274,5.648971,0,stoparea:418538,,0.0,,,2578337
2578339,66580880,"Maastricht, Vezeldonk",50.86685,5.66211,0,stoparea:418540,,0.0,,,2578339
2578340,66580890,"Maastricht, Winkelcentrum/Belfort",50.846085,5.659062,0,stoparea:418550,,0.0,,,2578340
2578341,66580900,"Maastricht, Winkelcentrum/Belfort",50.846157,5.658835,0,stoparea:418550,,1.0,,,2578341
