route_id,service_id,trip_id,realtime_trip_id,trip_headsign,trip_short_name,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
86449,4704,177032943,QBUZZ:g045:1011,Loppersum,1011,,0,,1126871.0,1,
86449,4702,177032950,QBUZZ:g045:1036,Spijk,1036,,1,,1126872.0,1,
86449,4713,177032954,QBUZZ:g045:1045,Spijk,1045,,1,,1126872.0,1,
90830,3285,178417290,ARR:26208:1070,Waubach,1070,,0,,1130656.0,0,
90830,3285,178417160,ARR:26208:1110,Waubach,1110,,0,,1130656.0,0,
90830,3285,178417152,ARR:26208:1082,Waubach,1082,,0,,1130656.0,0,
90830,3285,178417059,ARR:26208:1010,Waubach,1010,,0,,1130656.0,0,
90829,3285,178417143,ARR:26207:1097,Heerlen Zuyderland MC,1097,,1,,1130651.0,0,
90829,3285,178417049,ARR:26207:1013,Heerlen Zuyderland MC,1013,,1,,1130651.0,0,
90829,3285,178417048,ARR:26207:1005,Heerlen Zuyderland MC,1005,,1,,1130651.0,0,
90829,3285,178417132,ARR:26207:1077,Heerlen Zuyderland MC,1077,,1,,1130651.0,0,
90837,3285,178417380,ARR:26350:1157,Aachen Centrum,1157,Limburgliner,1,,1131284.0,0,
90837,3285,178417348,ARR:26350:1162,Maastricht,1162,Limburgliner,0,,1131287.0,0,
90837,3285,178417471,ARR:26350:1245,Aachen Centrum,1245,Limburgliner,1,,1131284.0,0,
90837,3285,178417349,ARR:26350:1229,Aachen Centrum,1229,Limburgliner,1,,1131284.0,0,
90837,3285,178417250,ARR:26350:1109,Aachen Centrum,1109,Limburgliner,1,,1131284.0,0,
90837,3285,178417315,ARR:26350:1238,Maastricht,1238,Limburgliner,0,,1131287.0,0,
90837,3285,178417218,ARR:26350:1001,Aachen Centrum,1001,Limburgliner,1,,1131286.0,0,
90837,3285,178417359,ARR:26350:1237,Aachen Centrum,1237,Limburgliner,1,,1131284.0,0,
90837,3285,178417475,ARR:26350:1253,Vaals,1253,Limburgliner,1,,1131285.0,0,
90837,3285,178417339,ARR:26350:1097,Aachen Centrum,1097,Limburgliner,1,,1131284.0,0,
90837,3285,178417474,ARR:26350:1250,Maastricht,1250,Limburgliner,0,,1131287.0,0,
90837,3285,178417312,ARR:26350:1026,Maastricht,1026,Limburgliner,0,,1131288.0,0,
90837,3285,178417314,ARR:26350:1034,Maastricht,1034,Limburgliner,0,,1131288.0,0,
90837,3285,178417375,ARR:26350:1142,Maastricht,1142,Limburgliner,0,,1131287.0,0,
90837,3285,178417251,ARR:26350:1110,Maastricht,1110,Limburgliner,0,,1131287.0,0,
90837,3285,178417347,ARR:26350:1161,Aachen Centrum,1161,Limburgliner,1,,1131284.0,0,
90821,3285,178416482,ARR:26057:1025,Gulpen,1025,,1,,1130131.0,0,
90821,3285,178416538,ARR:26057:1002,Maastricht,1002,,0,,1130128.0,0,
90821,3285,178416478,ARR:26057:1102,Maastricht,1102,,0,,1130129.0,0,
90821,3285,178416546,ARR:26057:1109,Gulpen,1109,,1,,1130131.0,0,
90837,3285,178417404,ARR:26350:1210,Maastricht,1210,Limburgliner,0,,1131287.0,0,
90837,3285,178417374,ARR:26350:1141,Aachen Centrum,1141,Limburgliner,1,,1131284.0,0,
90837,3285,178417288,ARR:26350:1021,Aachen Centrum,1021,Limburgliner,1,,1131284.0,0,
90837,3285,178417342,ARR:26350:1125,Aachen Centrum,1125,Limburgliner,1,,1131284.0,0,
90837,3285,178417379,ARR:26350:1154,Maastricht,1154,Limburgliner,0,,1131287.0,0,
90837,3285,178417356,ARR:26350:1205,Aachen Centrum,1205,Limburgliner,1,,1131284.0,0,
90792,3285,178415219,ARR:26008:1065,Valkenburg,1065,,1,,1129953.0,0,
90796,3285,178415352,ARR:26012:1066,Boschpoort,1066,,0,,1129977.0,0,
90792,3285,178415159,ARR:26008:1034,Maastricht Boschpoort,1034,,0,,1129949.0,0,
90792,3285,178415164,ARR:26008:1053,Valkenburg,1053,,1,,1129953.0,0,
90796,3285,178415455,ARR:26012:1065,Villapark,1065,,1,,1129976.0,0,
90796,3285,178415456,ARR:26012:1070,Boschpoort,1070,,0,,1129977.0,0,
90792,3285,178415153,ARR:26008:1001,Valkenburg,1001,,1,,1129954.0,0,
90793,3285,178415267,ARR:26009:1101,Bunde,1101,,1,,1129955.0,0,
90796,3285,178415347,ARR:26012:1057,Villapark,1057,,1,,1129976.0,0,
90797,3285,178415374,ARR:26013:1010,Maastricht Station,1010,,0,,1129980.0,0,
90797,3285,178415526,ARR:26013:1022,Maastricht Station,1022,,0,,1129980.0,0,
